Dimension,RFF Real,RFF Real 25,RFF Real 75,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.9395782643957826,0.03406326034063256,0.0504866180048662,0.681265206812652,0.06853203568532029,0.03507704785077048,0.7126926196269262,0.011962692619626902,0.01743714517437145,0.7128953771289538,0.012773722627737238,0.0468369829683698,0.744728304947283,0.029197080291970767,0.039943227899432276,0.7741281427412814,0.04825628548256278,0.04257907542579076,1.0
10,0.9973641524736415,0.007299270072992692,0.0018248175182481452,0.6620032441200324,0.15936739659367394,0.046025952960259575,0.7057988645579887,0.006488240064882467,0.02980535279805352,0.7216139497161395,0.020478507704784987,0.03548256285482565,0.7388483373884833,0.02311435523114347,0.01540957015409572,0.75,0.01642335766423353,0.04541768045417682,1.0
15,0.9995944849959448,0.0014193025141929771,0.00020275750202758402,0.547242497972425,0.15227088402270883,0.15673154906731546,0.717558799675588,0.09630981346309808,0.01905920519059201,0.7319545823195458,0.033252230332522226,0.024533657745336557,0.7696674776966748,0.036293592862935875,0.04521492295214924,0.7978507704785077,0.058799675587996814,0.02676399026763987,1.0
20,0.9997972424979724,0.00040551500405516805,0.00020275750202758402,0.569140308191403,0.15774533657745332,0.12773722627737227,0.6778183292781833,0.12003244120032441,0.02514193025141931,0.7307380373073804,0.025344687753446893,0.03811841038118402,0.7319545823195458,0.02838605028386043,0.03284671532846717,0.7666261151662611,0.03081914030819133,0.0541362530413626,1.0
25,1.0,0.00020275750202758402,0.0,0.5906326034063261,0.166058394160584,0.08475263584752635,0.6751824817518248,0.11861313868613144,0.04541768045417682,0.7066098945660989,0.030210867802108687,0.04278183292781834,0.7386455798864558,0.036699107866991154,0.06650446066504456,0.7860908353609084,0.040348742903487445,0.05109489051094884,1.0
