Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,1.0,0.4553499597747385,0.18543845534995979,0.2783588093322607,0.4579646017699115,0.06918744971842317,0.2302896218825422,0.6450120675784392,0.20716009654062745,0.05631536604987941,0.6331456154465004,0.10438455349959774,0.06194690265486724,0.6084070796460177,0.05289621882542239,0.09694288012872088,1.0
10,1.0,0.3895816572807723,0.10418342719227675,0.30530973451327437,0.6210780370072405,0.3199919549477071,0.08708769106999203,0.6120273531777957,0.28881737731295254,0.08085277554304104,0.5239340305711987,0.1315366049879324,0.20595333869670152,0.5977473853580049,0.10961383748994374,0.05510860820595331,1.0
15,1.0,0.37268704746580855,0.06818181818181823,0.32220434432823813,0.40466613032984716,0.09955752212389385,0.2902252614641995,0.41834271922767496,0.12510056315366047,0.2862027353177796,0.5508849557522124,0.24818986323411102,0.16251005631536608,0.5730088495575221,0.25020112630732094,0.1574818986323412,1.0
20,1.0,0.6948913917940467,0.3915929203539823,0.0004022526146419958,0.6804102976669348,0.3753016894609815,0.014481094127111849,0.6055913113435237,0.21983105390185037,0.1323411102172164,0.3893805309734513,0.12630732099758646,0.14199517296862435,0.6001609010458568,0.28559935639581663,0.1323411102172164,1.0
25,1.0,0.6381737731295254,0.3330651649235721,0.056717618664521297,0.6098149637972646,0.2115848753016894,0.08748994368463403,0.5601367658889783,0.2592518101367659,0.13475462590506837,0.6586886564762671,0.34352373290426386,0.08366854384553502,0.37349155269509254,0.09835076427996786,0.17296862429605792,1.0
