Dimension,RFF Binary,RFF Binary 25,RFF Binary 75,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.766044187269858,0.049053129931615036,0.02893214097843233,0.7342188321935823,0.08679642293529721,0.03826933193056292,0.7588111520252498,0.08350867964229347,0.028800631246712283,0.7597317201472908,0.05694371383482377,0.027617043661230967,0.7631509731720147,0.053392951078379824,0.024460810099947383,0.7631509731720147,0.05431351920042082,0.024460810099947383,1.0
10,0.8479747501315097,0.027748553392951014,0.022619673855865385,0.6284850078905839,0.011441346659652796,0.04063650710152544,0.7319831667543398,0.06443976854287214,0.036296685954760655,0.7703840084166228,0.037874802735402335,0.03932140978432408,0.7998421883219359,0.04523934771173077,0.030904786954234598,0.8154918463966333,0.05720673329826398,0.01801683324566028,1.0
15,0.8705944239873751,0.017359284587059487,0.011178327196212479,0.5557601262493425,0.014860599684376696,0.008153603366649165,0.586664913203577,0.01630720673329822,0.03748027354024197,0.6333508679642293,0.014992109416096744,0.007759074171488689,0.6588637559179379,0.029984218832193488,0.032088374539716025,0.686612309310889,0.02656496580746981,0.03314045239347707,1.0
20,0.9018937401367702,0.016833245660178853,0.021041557075223483,0.5988953182535508,0.035376117832719656,0.009994739610731163,0.6649132035770647,0.03603366649132034,0.033666491320357705,0.7162019989479221,0.029195160441872647,0.03682272488164129,0.7564439768542872,0.03419253024723834,0.023671751709626543,0.7793266701735928,0.04366123093108887,0.023540241977906384,1.0
25,0.9233298264071541,0.01696475539189901,0.01367701209889538,0.6091530773277223,0.013150973172014746,0.018279852709100486,0.686612309310889,0.04589689637033145,0.03419253024723834,0.7506575486586007,0.041294055760126236,0.01538663861125733,0.7827459231983167,0.031956864807995866,0.024592319831667542,0.7918200946870069,0.01893740136770128,0.04431877958968966,1.0
