Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
1,0.9040646853146853,0.5603146853146853,0.019230769230769273,0.010270979020979065,0.6466346153846154,0.012456293706293753,0.0024038461538461453,0.7027972027972028,0.012456293706293753,0.007430069930069894,1.0
5,1.0,0.6601835664335665,0.3273601398601399,0.11713286713286708,0.5979020979020979,0.12762237762237766,0.12412587412587406,0.6265297202797203,0.06599650349650354,0.07386363636363635,1.0
10,1.0,0.7729458041958042,0.5502622377622377,0.004370629370629375,0.6722027972027972,0.27600524475524474,0.07080419580419584,0.5600961538461539,0.25655594405594406,0.20520104895104896,1.0
15,1.0,0.5316870629370629,0.30900349650349646,0.24562937062937062,0.5233828671328671,0.287805944055944,0.25393356643356646,0.5740821678321678,0.28846153846153844,0.20323426573426573,1.0
20,1.0,0.7637674825174825,0.3374125874125874,0.013548951048951041,0.5703671328671329,0.29501748251748255,0.20694930069930062,0.3870192307692308,0.16433566433566435,0.3424388111888112,1.0
25,1.0,0.7773164335664335,0.5546328671328671,0.0,0.7773164335664335,0.5546328671328671,0.0,0.5533216783216783,0.16083916083916083,0.2239947552447552,1.0
