Epsilon,2.0,2.0 25,2.0 75,6.0,6.0 25,6.0 75,10.0,10.0 25,10.0 75,14.0,14.0 25,14.0 75
2.5,0.9386052056427578,0.01967017683290294,0.016292469699980036,0.8418438307172661,0.024637393204848135,0.0537452811444467,0.7568050864295648,0.07162726008344919,0.06929266838863504,0.6819988078680708,0.07962447844228097,0.024885754023445207
5.0,0.9581760381482217,0.006805086429564875,0.003079674150605978,0.973276375918935,0.011474269819193304,0.007500496721637178,0.9244983111464334,0.0374528114444665,0.013063779058215909,0.7379296642161732,0.013461156367971443,0.09974170474865883
7.5,0.9566858732366381,0.008096562686270714,0.014404927478640975,0.9707927677329624,0.003228690641764284,0.009040333796940244,0.9836081859725809,0.0034770514603616686,0.0010927876018278371,0.9351281541823961,0.02523345916948136,0.019868865487780628
10.0,0.9534075104311543,0.01579574806278558,0.012815418239618525,0.9778462149811245,0.006507053447248107,0.0023842638585336753,0.9885754023445261,0.0012914762567056823,0.0003973773097556905,0.9865885157957481,0.0006954102920723025,0.002483608185972598
12.5,0.9596662030598052,0.008394595668587326,0.005761970991456421,0.970196701768329,0.0011921319292669157,0.005761970991456421,0.987681303397576,0.00029803298231661195,0.0004967216371946131,0.9941386846811047,0.0009934432743890704,0.001092787601827993
