Num Iters,PCA,Private PCA,Private PCA 25,Private PCA 75
25,1.0016216216216216,1.0016216216216216,0.0,0.0
50,1.0016216216216216,1.0016216216216216,0.0,0.0
75,1.0016216216216216,1.0016216216216216,0.0,0.0
100,1.0016216216216216,1.0016216216216216,0.0,0.0
