Dimension,Bdwth = 5,Bdwth = 5 25,Bdwth = 5 75,Bdwth = 10,Bdwth = 10 25,Bdwth = 10 75,Bdwth = 15,Bdwth = 15 25,Bdwth = 15 75,Bdwth = 20,Bdwth = 20 25,Bdwth = 20 75,Bdwth = 25,Bdwth = 25 25,Bdwth = 25 75,Original Features
10,0.7237569060773481,0.035158211953792096,0.019085886489201398,0.7418382722250125,0.013058764439979886,0.028628829733802097,0.7096936212958312,0.03566047212456047,0.02511300853842291,0.7232546459065796,0.019588146659969885,0.026117528879959773,0.6976393771973882,0.020592667001506748,0.02963335007533907,0.9718734304369664
20,0.8166750376695128,0.027122049221496747,0.018081366147664535,0.8272225012556504,0.018081366147664535,0.013561024610748373,0.8161727774987444,0.02812656956303372,0.020592667001506748,0.7890507282772476,0.017579105976896048,0.025615268709191286,0.7624309392265194,0.021094927172275235,0.02963335007533896,0.9718734304369664
30,0.8407835258663988,0.014565544952285348,0.020592667001506748,0.8613761928679056,0.006529382219989999,0.008036162732295349,0.838774485183325,0.02360622802611756,0.028628829733802097,0.8337518834756403,0.018081366147664424,0.013058764439979997,0.8211953792064289,0.017579105976896048,0.010045203415369186,0.9718734304369664
40,0.8834756403817178,0.009040683073832323,0.013561024610748373,0.8809643395278755,0.011551983927674536,0.010547463586137562,0.8749372174786539,0.014565544952285236,0.013561024610748373,0.8593671521848317,0.02009040683073826,0.016574585635359185,0.844299347061778,0.017579105976896048,0.010547463586137562,0.9718734304369664
50,0.9015570065293822,0.01406328478151675,0.006529382219989999,0.9005524861878453,0.01707684580612756,0.006027122049221512,0.8879959819186338,0.012054244098442912,0.0050226017076846485,0.8799598191863385,0.007031642390758375,0.010045203415369186,0.8694123556002009,0.013058764439979886,0.008538422903063725,0.9718734304369664
