Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
10,0.9521880064829822,0.7455429497568882,0.07455429497568877,0.027552674230145846,0.7495948136142626,0.04700162074554304,0.041329011345218714,0.7909238249594813,0.02674230145867096,0.004051863857374438,0.7884927066450568,0.010534846029173428,0.005672609400324102,0.7901134521880064,0.008914100486223653,0.004051863857374438,0.9870340356564019
20,0.986223662884927,0.47893030794165314,0.08427876823338737,0.3168557536466775,0.6150729335494327,0.20259319286871957,0.1709886547811994,0.752836304700162,0.1645056726094003,0.03970826580226905,0.7341977309562399,0.12479740680713125,0.0486223662884927,0.7147487844408428,0.12641815235008103,0.07131280388978933,0.9870340356564019
30,0.9943273905996759,0.20421393841166938,0.0,0.5915721231766613,0.4837925445705024,0.26012965964343593,0.266612641815235,0.5737439222042139,0.13209076175040513,0.13371150729335501,0.5194489465153971,0.11345218800648299,0.20988654781199356,0.6142625607779578,0.23257698541329008,0.13209076175040524,0.9870340356564019
40,0.9886547811993517,0.63290113452188,0.42868719611021067,0.16288492706645064,0.7609400324149108,0.5567260940032415,0.034846029173419835,0.6766612641815235,0.39627228525121555,0.11912479740680715,0.46434359805510533,0.23905996758508913,0.27471636952998385,0.6175040518638574,0.2698541329011345,0.1580226904376013,0.9870340356564019
50,0.9918962722852512,0.6815235008103727,0.47730956239870337,0.11426256077795793,0.6353322528363047,0.43111831442463533,0.1588330632090762,0.42301458670988656,0.2188006482982172,0.3711507293354943,0.31766612641815234,0.1126418152350081,0.4781199351701783,0.5948136142625607,0.35089141004862234,0.1523500810372772,0.9870340356564019
