Dimension,RFF Real,RFF Real 25,RFF Real 75,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.6142641888498243,0.016072325464590698,0.028628829733802097,0.5283776996484179,0.011049723756906049,0.061778001004520355,0.5710698141637368,0.04269211451531896,0.03264691109994977,0.5871421396283275,0.049221496735308956,0.03314917127071815,0.586639879457559,0.021597187343043722,0.04972375690607733,0.5941737820190859,0.03566047212456047,0.024108488196885935,0.9588146659969864
10,0.682069311903566,0.012054244098442912,0.026117528879959884,0.5067805123053741,0.013561024610748318,0.023103967855349072,0.544952285283777,0.029131089904570584,0.04721245605223501,0.5976896032144651,0.035158211953792096,0.024610748367654423,0.6253139126067303,0.023103967855349072,0.014565544952285236,0.6288297338021095,0.02661978905072826,0.013058764439979886,0.9588146659969864
15,0.7458563535911602,0.02360622802611756,0.03114013058764442,0.5067805123053741,0.0,0.013058764439979997,0.5374183827222502,0.030135610246107558,0.060271220492214894,0.5740833751883475,0.052235057759919545,0.08136614766449024,0.6233048719236565,0.03566047212456058,0.04218985434455047,0.645906579608237,0.030135610246107447,0.06378704168759419,0.9588146659969864
20,0.7654445002511301,0.01406328478151686,0.020592667001506748,0.5067805123053741,0.013561024610748318,0.0,0.5354093420391763,0.028628829733802208,0.030135610246107447,0.5675539929683576,0.06077348066298349,0.06579608237066803,0.6363636363636364,0.0316423907584128,0.02209944751381221,0.623807132094425,0.027122049221496747,0.06127574083375187,0.9588146659969864
25,0.7835258663987946,0.016072325464590698,0.02360622802611745,0.5067805123053741,0.013561024610748318,0.0,0.5067805123053741,0.0,0.0,0.5354093420391763,0.028628829733802208,0.05123053741838268,0.585635359116022,0.0316423907584128,0.015067805123053835,0.6313410346559518,0.050728277247614306,0.03114013058764442,0.9588146659969864
