Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.6800602712204922,0.5067805123053741,0.0,0.0,0.5308890005022602,0.017579105976896048,0.011049723756906049,0.6122551481667504,0.012054244098443023,0.013058764439979886,0.6589653440482169,0.006529382219989888,0.0045203415369161615,0.6725263686589653,0.0055248618784530246,0.0015067805123054612,0.9718734304369664
10,0.9296835760924159,0.5067805123053741,0.0,0.0,0.5067805123053741,0.0,0.0,0.5077850326469111,0.0005022601707684871,0.0055248618784530246,0.592164741336012,0.03114013058764442,0.017579105976896048,0.6685082872928176,0.027624309392265123,0.027624309392265234,0.9718734304369664
15,0.939728779507785,0.5067805123053741,0.0,0.0,0.5067805123053741,0.0,0.0,0.5067805123053741,0.0,0.0,0.5067805123053741,0.0,0.0005022601707684871,0.521848317428428,0.008538422903063836,0.008538422903063725,0.9718734304369664
20,0.946258161727775,0.5067805123053741,0.0,0.0,0.5067805123053741,0.0,0.0,0.5067805123053741,0.0,0.0,0.5067805123053741,0.0,0.0,0.5067805123053741,0.0,0.0005022601707684871,0.9718734304369664
25,0.9522852837769965,0.5067805123053741,0.0,0.0,0.5067805123053741,0.0,0.0,0.5067805123053741,0.0,0.0,0.5067805123053741,0.0,0.0,0.5067805123053741,0.0,0.0,0.9718734304369664
