Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.8549432739059968,0.7957860615883307,0.0,0.0,0.7925445705024311,0.04051863857374394,0.0032414910858995505,0.786871961102107,0.025121555915721294,0.00648298217179899,0.7714748784440842,0.02025931928687197,0.012965964343598091,0.779578606158833,0.034035656401944836,0.005672609400324213,0.986223662884927
10,0.9497568881685575,0.7957860615883307,0.0,0.0,0.7957860615883307,0.0,0.0,0.7957860615883307,0.0008103727714748876,0.0,0.7949756888168558,0.02674230145867096,0.0008103727714748876,0.793354943273906,0.01620745542949753,0.002431118314424663,0.986223662884927
15,0.9764991896272285,0.7957860615883307,0.0,0.0,0.7957860615883307,0.0,0.0,0.7957860615883307,0.0,0.0,0.7957860615883307,0.0016207455429497752,0.0,0.7957860615883307,0.0016207455429497752,0.0,0.986223662884927
20,0.9870340356564019,0.7957860615883307,0.0,0.0,0.7957860615883307,0.0,0.0,0.7957860615883307,0.0,0.0,0.7957860615883307,0.0008103727714748876,0.0,0.7957860615883307,0.0,0.0,0.986223662884927
25,0.9910858995137763,0.7957860615883307,0.0,0.0,0.7957860615883307,0.0,0.0,0.7957860615883307,0.0,0.0,0.7957860615883307,0.0,0.0,0.7957860615883307,0.0008103727714748876,0.0,0.986223662884927
