Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
10,0.9471014492753623,0.7115942028985507,0.3442028985507246,0.0,0.5702898550724638,0.11884057971014494,0.13913043478260867,0.5427536231884058,0.14710144927536234,0.12753623188405794,0.553623188405797,0.16231884057971008,0.11884057971014494,0.5956521739130435,0.09999999999999998,0.07681159420289851,0.9840579710144928
20,0.981159420289855,0.7108695652173913,0.42246376811594205,0.0007246376811593791,0.6398550724637682,0.31086956521739134,0.07173913043478253,0.5731884057971014,0.28478260869565214,0.12826086956521743,0.6101449275362318,0.21086956521739125,0.10144927536231885,0.6210144927536232,0.2028985507246377,0.08260869565217388,0.9840579710144928
30,0.9869565217391304,0.29492753623188406,0.0065217391304348005,0.41666666666666663,0.7115942028985507,0.42318840579710143,0.0,0.6920289855072463,0.39565217391304347,0.018115942028985588,0.36376811594202896,0.0753623188405797,0.30942028985507253,0.572463768115942,0.2673913043478261,0.13913043478260867,0.9840579710144928
40,0.986231884057971,0.7108695652173913,0.42246376811594205,0.0007246376811593791,0.7115942028985507,0.42318840579710143,0.0,0.2971014492753623,0.008695652173913049,0.4144927536231884,0.7072463768115942,0.39855072463768115,0.004347826086956497,0.6594202898550725,0.37101449275362325,0.05217391304347818,0.9840579710144928
50,0.9884057971014493,0.5702898550724638,0.2818840579710145,0.14130434782608692,0.7086956521739131,0.4202898550724638,0.0028985507246376274,0.558695652173913,0.2702898550724638,0.15289855072463765,0.7115942028985507,0.42318840579710143,0.0,0.7021739130434783,0.41376811594202906,0.009420289855072372,0.9840579710144928
