Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
10,0.941304347826087,0.4384057971014493,0.028260869565217395,0.25507246376811593,0.6333333333333333,0.1036231884057971,0.04202898550724643,0.6340579710144928,0.062318840579710155,0.030434782608695587,0.6811594202898551,0.021739130434782594,0.007246376811594124,0.6789855072463769,0.022463768115942084,0.018840579710144856,0.9876811594202899
20,0.9753623188405797,0.6507246376811594,0.2826086956521739,0.060869565217391286,0.5405797101449276,0.1811594202898551,0.16594202898550725,0.6731884057971015,0.14927536231884064,0.03768115942028982,0.7043478260869566,0.033333333333333326,0.007246376811594124,0.6688405797101449,0.1072463768115941,0.03985507246376818,0.9876811594202899
30,0.9753623188405797,0.6804347826086956,0.14927536231884053,0.031159420289855078,0.5021739130434782,0.14999999999999997,0.18260869565217397,0.6840579710144927,0.17101449275362313,0.025362318840579712,0.6710144927536232,0.14347826086956528,0.04057971014492745,0.6572463768115943,0.10289855072463772,0.04130434782608694,0.9876811594202899
40,0.9739130434782609,0.6463768115942029,0.31521739130434784,0.060869565217391286,0.7065217391304348,0.16956521739130437,0.005072463768115876,0.6456521739130435,0.1942028985507247,0.05652173913043479,0.6789855072463769,0.2130434782608696,0.032608695652173836,0.6905797101449276,0.2456521739130435,0.021014492753623104,0.9876811594202899
50,0.972463768115942,0.7115942028985507,0.244927536231884,0.0,0.6123188405797102,0.3152173913043479,0.09927536231884049,0.4731884057971015,0.17318840579710149,0.20797101449275363,0.5021739130434782,0.1760869565217391,0.18623188405797098,0.6123188405797102,0.2615942028985508,0.09782608695652173,0.9876811594202899
