Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.839546191247974,0.7098865478119936,0.21880064829821722,0.04700162074554293,0.6612641815235009,0.05024311183144248,0.034846029173419724,0.7090761750405187,0.06969205834683956,0.041329011345218714,0.7090761750405187,0.01944894651539708,0.03565640194489461,0.7423014586709886,0.023500810372771408,0.012155591572123203,0.9870340356564019
10,0.9165316045380876,0.7479740680713128,0.23095623987034042,0.04619124797406804,0.6717990275526742,0.306320907617504,0.08265802269043765,0.7163695299837926,0.08346839546191254,0.06320907617504046,0.7706645056726094,0.06320907617504046,0.021069692058346856,0.7568881685575365,0.07860615883306321,0.023500810372771408,0.9870340356564019
15,0.960291734197731,0.5761750405186385,0.2949756888168557,0.10777957860615883,0.6969205834683955,0.15316045380875198,0.08752025931928686,0.6507293354943274,0.1555915721231767,0.13533225283630468,0.6993517017828201,0.02350081037277152,0.07131280388978922,0.7722852512155591,0.05186385737439214,0.017828200972447306,0.9870340356564019
20,0.9627228525121556,0.773095623987034,0.4724473257698541,0.02269043760129663,0.7698541329011345,0.050243111831442366,0.02350081037277152,0.779578606158833,0.1572123176661263,0.015397082658022754,0.673419773095624,0.054294975688816804,0.11426256077795793,0.7560777957860616,0.03241491085899517,0.037277147487844386,0.9870340356564019
25,0.9651539708265803,0.7820097244732577,0.3946515397082658,0.013776337115072979,0.6993517017828201,0.2990275526742302,0.09481361426256074,0.7155591572123177,0.12965964343598058,0.08022690437601299,0.773095623987034,0.22690437601296598,0.017017828200972418,0.7763371150729336,0.12965964343598058,0.01944894651539708,0.9870340356564019
