Dimension,Majority Label,RFF Binary,RFF Binary 25,RFF Binary 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Eps = 10.0,Eps = 10.0 25,Eps = 10.0 75,Eps = 15.0,Eps = 15.0 25,Eps = 15.0 75,Eps = 20.0,Eps = 20.0 25,Eps = 20.0 75,Eps = 25.0,Eps = 25.0 25,Eps = 25.0 75
10,0.9563659628918746,0.9819577735124759,0.02559181062060141,0.011516314779270622,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0
20,0.9563659628918746,0.9777351247600767,0.0170185540626999,0.020985284708893135,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0
30,0.9563659628918746,0.9936020473448496,0.03224568138195766,0.00588611644273836,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0
40,0.9563659628918746,0.9975687779910428,0.00524632117722318,0.005502239283429419,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0
50,0.9563659628918746,0.999488163787588,0.002559181062060169,0.0019193857965451265,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0,0.9563659628918746,0.0,0.0
