Dimension,RFF Real,RFF Real 25,RFF Real 75,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
10,0.9687943262411347,0.0099290780141843,0.01134751773049647,0.6231678486997636,0.03498817966903078,0.047281323877068515,0.6874704491725768,0.019858156028368823,0.05673758865248224,0.7848699763593381,0.0515366430260048,0.06619385342789597,0.7872340425531915,0.0685579196217494,0.07375886524822695,0.8170212765957446,0.047281323877068515,0.054846335697399606,0.9995271867612293
20,0.9933806146572104,0.0023640661938534313,0.0014184397163120588,0.5872340425531914,0.0340425531914893,0.07092198581560283,0.6368794326241135,0.06099290780141842,0.07943262411347518,0.7281323877068558,0.05815602836879441,0.034515366430259986,0.7569739952718676,0.05153664302600469,0.06997635933806146,0.7891252955082743,0.07328605200945626,0.05059101654846332,0.9995271867612293
30,0.9966903073286052,0.0014184397163120588,0.0009456264775413725,0.5673758865248227,0.07943262411347524,0.029314420803782437,0.6609929078014184,0.056264775413711554,0.026950354609929117,0.6921985815602837,0.042080378250590966,0.05342789598108744,0.7243498817966904,0.05721040189125304,0.05768321513002361,0.7730496453900709,0.04302600472813234,0.05059101654846332,0.9995271867612293
40,0.9976359338061466,0.00047281323877068626,0.00047281323877068626,0.5375886524822695,0.0614657210401891,0.12860520094562644,0.607565011820331,0.0652482269503546,0.044917257683215195,0.658628841607565,0.07328605200945626,0.03262411347517735,0.7267139479905438,0.041134751773049705,0.041134751773049594,0.7635933806146572,0.07092198581560283,0.047281323877068515,0.9995271867612293
50,0.9981087470449173,0.00047281323877068626,0.00047281323877068626,0.5498817966903073,0.09787234042553195,0.07848699763593381,0.6359338061465721,0.06808510638297871,0.0614657210401891,0.6047281323877068,0.08699763593380616,0.0855791962174941,0.6732860520094562,0.03640661938534273,0.0685579196217494,0.7489361702127659,0.047281323877068515,0.05957446808510636,0.9995271867612293
