Dimension,RFF Real,RFF Real 25,RFF Real 75,Eps = 2.5,Eps = 2.5 25,Eps = 2.5 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Eps = 7.5,Eps = 7.5 25,Eps = 7.5 75,Eps = 10.0,Eps = 10.0 25,Eps = 10.0 75,Eps = 12.5,Eps = 12.5 25,Eps = 12.5 75,Original Features
5,0.87,0.011739130434782585,0.014347826086956506,0.8060869565217391,0.005652173913043512,0.003043478260869592,0.82,0.005217391304347729,0.009565217391304448,0.8391304347826087,0.009565217391304337,0.012173913043478257,0.8517391304347826,0.014347826086956506,0.013478260869565273,0.8595652173913043,0.01043478260869557,0.016956521739130426,0.9265217391304348
10,0.8991304347826087,0.004347826086956497,0.01043478260869568,0.8069565217391305,0.00782608695652176,0.003913043478260825,0.8165217391304348,0.003478260869565264,0.006521739130434745,0.8282608695652174,0.003478260869565264,0.006086956521739184,0.8369565217391305,0.003913043478260936,0.006956521739130417,0.8491304347826087,0.006086956521739184,0.005652173913043401,0.9265217391304348
15,0.9130434782608695,0.007391304347826089,0.0047826086956522795,0.8034782608695652,0.003043478260869592,0.003043478260869592,0.8126086956521739,0.0008695652173912327,0.003043478260869592,0.8191304347826087,0.0013043478260870156,0.0021739130434782483,0.8278260869565217,0.003043478260869592,0.00521739130434784,0.8365217391304348,0.006086956521739184,0.0047826086956521685,0.9265217391304348
20,0.9191304347826087,0.003913043478260825,0.003478260869565264,0.8039130434782609,0.004347826086956497,0.00260869565217392,0.8121739130434783,0.006086956521739184,0.003043478260869481,0.8178260869565217,0.0017391304347825765,0.0008695652173913437,0.8230434782608695,0.00260869565217392,0.0013043478260870156,0.8295652173913044,0.0047826086956522795,0.003913043478260825,0.9265217391304348
25,0.9195652173913044,0.003478260869565264,0.006086956521739073,0.8017391304347826,0.004347826086956497,0.0047826086956521685,0.8091304347826087,0.003478260869565264,0.003478260869565153,0.8160869565217391,0.0013043478260869046,0.0017391304347825765,0.818695652173913,0.0017391304347825765,0.00260869565217392,0.8234782608695652,0.0017391304347825765,0.003043478260869592,0.9265217391304348
