Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.938695652173913,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.798695652173913,0.0021739130434782483,0.0017391304347825765,0.9495652173913044
10,0.9491304347826087,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.9495652173913044
15,0.9491304347826087,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.9495652173913044
20,0.9569565217391305,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.9495652173913044
25,0.9547826086956521,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.7965217391304348,0.0,0.0,0.9495652173913044
