Dimension,RFF Real,RFF Real 25,RFF Real 75,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.8669565217391304,0.0047826086956521685,0.006086956521739184,0.802608695652174,0.0,0.0,0.802608695652174,0.0,0.0,0.8030434782608695,0.00043478260869556085,0.00043478260869567187,0.8073913043478261,0.00260869565217392,0.00260869565217392,0.8139130434782609,0.00521739130434784,0.00521739130434784,0.95
10,0.898695652173913,0.015217391304347738,0.004347826086956608,0.802608695652174,0.0,0.0,0.802608695652174,0.0,0.0,0.802608695652174,0.0,0.0,0.8030434782608695,0.00043478260869556085,0.00043478260869567187,0.8069565217391305,0.00260869565217392,0.0013043478260869046,0.95
15,0.9117391304347826,0.00521739130434784,0.01043478260869568,0.802608695652174,0.0,0.0,0.802608695652174,0.0,0.0,0.802608695652174,0.0,0.0,0.8030434782608695,0.00043478260869556085,0.00043478260869567187,0.8043478260869565,0.0013043478260870156,0.0017391304347825765,0.95
20,0.9195652173913044,0.006086956521739184,0.007391304347826089,0.802608695652174,0.0,0.0,0.802608695652174,0.0,0.0,0.802608695652174,0.0,0.0,0.802608695652174,0.0,0.0,0.8030434782608695,0.00043478260869556085,0.0008695652173913437,0.95
25,0.9217391304347826,0.004347826086956497,0.00782608695652176,0.802608695652174,0.0,0.0,0.802608695652174,0.0,0.0,0.802608695652174,0.0,0.0,0.802608695652174,0.0,0.00043478260869556085,0.8030434782608695,0.0,0.00043478260869567187,0.95
