Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.9433551198257081,0.49673202614379086,0.05991285403050112,0.027233115468409563,0.5174291938997821,0.02832244008714596,0.10130718954248363,0.565359477124183,0.1296296296296296,0.07734204793028321,0.5588235294117647,0.06100217864923746,0.02614379084967322,0.6187363834422658,0.06427015250544665,0.04139433551198257,0.9618736383442266
10,0.9586056644880174,0.4989106753812636,0.008714596949891074,0.011982570806100268,0.5185185185185185,0.017429193899782147,0.0185185185185186,0.5087145969498911,0.050108932461873645,0.04139433551198257,0.5032679738562091,0.08496732026143788,0.05119825708060999,0.5239651416122004,0.08169934640522875,0.06209150326797386,0.9618736383442266
15,0.9596949891067538,0.5010893246187363,0.005446623093681879,0.02178649237472774,0.5010893246187363,0.003267973856209083,0.02178649237472774,0.49455337690631807,0.07734204793028321,0.007625272331154731,0.5043572984749455,0.019607843137254832,0.05446623093681924,0.4989106753812636,0.04139433551198257,0.010893246187363814,0.9618736383442266
20,0.9640522875816994,0.5010893246187363,0.0021786492374727406,0.0,0.4989106753812636,0.0,0.008714596949891129,0.5010893246187363,0.040305010893246174,0.002178649237472796,0.5010893246187363,0.03376906318082784,0.009803921568627527,0.5250544662309368,0.02178649237472763,0.02614379084967322,0.9618736383442266
25,0.9651416122004357,0.5010893246187363,0.0021786492374727406,0.0,0.5010893246187363,0.0021786492374727406,0.0010893246187364536,0.5010893246187363,0.013071895424836555,0.0032679738562091387,0.5043572984749455,0.005446623093681879,0.03594771241830075,0.5032679738562091,0.0076252723311546755,0.03594771241830064,0.9618736383442266
