Dimension,PCA,Eps = 2.5,Eps = 2.5 25,Eps = 2.5 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Eps = 7.5,Eps = 7.5 25,Eps = 7.5 75,Eps = 10.0,Eps = 10.0 25,Eps = 10.0 75,Eps = 12.5,Eps = 12.5 25,Eps = 12.5 75,Original Features
5,0.9526086956521739,0.7943478260869565,0.00043478260869567187,0.003043478260869592,0.7969565217391305,0.0017391304347825765,0.003043478260869592,0.7978260869565217,0.0017391304347825765,0.0013043478260870156,0.7969565217391305,0.0017391304347825765,0.0013043478260869046,0.7973913043478261,0.0013043478260870156,0.0008695652173912327,0.921304347826087
10,0.9469565217391305,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.003043478260869592,0.7943478260869565,0.00043478260869567187,0.0013043478260869046,0.7965217391304348,0.0013043478260869046,0.0021739130434782483,0.921304347826087
15,0.9421739130434783,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.00043478260869567187,0.7943478260869565,0.00043478260869567187,0.00043478260869567187,0.7947826086956522,0.0008695652173913437,0.0008695652173912327,0.921304347826087
20,0.9352173913043478,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0013043478260870156,0.921304347826087
25,0.93,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.00043478260869567187,0.921304347826087
