Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.9411123227917121,0.4776444929116685,0.064340239912759,0.05561613958560524,0.5343511450381679,0.08942202835332608,0.058887677208287914,0.4721919302071974,0.06979280261723014,0.1003271537622682,0.44601962922573607,0.06652126499454741,0.17557251908396948,0.5190839694656488,0.13849509269356597,0.06652126499454747,0.9672846237731734
10,0.9541984732824428,0.5027262813522355,0.03162486368593237,0.026172300981461283,0.5092693565976009,0.04034896401308613,0.03271537622682663,0.5223555070883316,0.05234460196292262,0.043620501635768805,0.5136314067611778,0.08505997818974925,0.043620501635768805,0.5081788440567067,0.06979280261723009,0.055616139585605184,0.9672846237731734
15,0.965103598691385,0.504907306434024,0.00763358778625961,0.0065430752453652374,0.5027262813522355,0.015267175572519054,0.04143947655398039,0.49182115594329334,0.05125408942202836,0.04471101417666301,0.5070883315158125,0.09596510359869143,0.01526717557251911,0.5070883315158125,0.06106870229007638,0.05125408942202836,0.9672846237731734
20,0.9705561613958561,0.5027262813522355,0.005452562704471087,0.009814612868047967,0.5027262813522355,0.01635768811341326,0.007633587786259555,0.5027262813522355,0.03489640130861499,0.03053435114503822,0.504907306434024,0.042529989094874654,0.055616139585605184,0.504907306434024,0.04580152671755727,0.03598691384950925,0.9672846237731734
25,0.9694656488549618,0.5027262813522355,0.005452562704471087,0.0,0.5027262813522355,0.006543075245365293,0.0065430752453653485,0.504907306434024,0.03053435114503822,0.021810250817884347,0.5027262813522355,0.006543075245365293,0.028353326063249806,0.5059978189749182,0.01526717557251911,0.06543075245365315,0.9672846237731734
