Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.9560869565217391,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.9756521739130435
10,0.9656521739130435,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.9756521739130435
15,0.971304347826087,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.9756521739130435
20,0.9708695652173913,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.9756521739130435
25,0.9717391304347827,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.7921739130434783,0.0,0.0,0.9756521739130435
