Dimension,PCA,Eps = 2.5,Eps = 2.5 25,Eps = 2.5 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Eps = 7.5,Eps = 7.5 25,Eps = 7.5 75,Eps = 10.0,Eps = 10.0 25,Eps = 10.0 75,Eps = 12.5,Eps = 12.5 25,Eps = 12.5 75,Original Features
5,0.9460869565217391,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.9465217391304348
10,0.948695652173913,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.9465217391304348
15,0.9495652173913044,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.9465217391304348
20,0.9547826086956521,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.9465217391304348
25,0.9552173913043478,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.7939130434782609,0.0,0.0,0.9465217391304348
