Dimension,RFF Real,RFF Real 25,RFF Real 75,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.9279502604875198,0.008676199401432938,0.008494815441821069,0.5420558864133337,0.012717030946118868,0.006570130092606652,0.5430534981911989,0.006489514999445833,0.008897890907625161,0.5520320041919848,0.004564829650231306,0.013795257817144857,0.5573526003405987,0.007769279603373702,0.012102340860767669,0.5636405776071425,0.009502504106331244,0.01112488285619273,0.9756139343188528
10,0.9660408920060058,0.004242369277588032,0.0027610669407579502,0.5546822253796467,0.011245805495934014,0.004453983897135139,0.5566069107288613,0.003970293338170339,0.006056208873706281,0.5617461229178633,0.008988582887431096,0.004312907484103734,0.5675201789655068,0.009663734292652881,0.007073974424861795,0.5760452250672632,0.004353215030684088,0.005723671614418002,0.9756139343188528
15,0.970101877323982,0.0013603796970887982,0.0015719943166359052,0.5497243971502564,0.01097372955651621,0.011477573888771353,0.5545613027399054,0.0048268287030038826,0.01102411398974179,0.5659481846488709,0.010762114936969103,0.007154589518022503,0.5720950855023832,0.007235204611183321,0.005280288602033556,0.5774862198575128,0.007043743764926336,0.007446819230730539,0.9756139343188528
20,0.9729838669044812,0.0012293801707025098,0.0007759202716728364,0.5433558047905519,0.01692916956377155,0.010903191350000507,0.5555286838578353,0.012898414905730737,0.0060058244404809225,0.562401120549795,0.010238116831423838,0.003819140038493707,0.566653566714028,0.008766891381238873,0.00432298437074885,0.5694650180880115,0.006217439060028029,0.00537098058183938,0.9756139343188528
25,0.9737799409494443,0.0009774580045749381,0.0009069197980591248,0.5383173614680008,0.006267823493253499,0.00992573334542568,0.5529993853099147,0.00979473381903928,0.009724195612523578,0.5563650654493788,0.007628203190342409,0.005461672561645314,0.5632173483680482,0.010923345123290629,0.005834517367514169,0.5649404959843607,0.0073057428176990236,0.0033052188195934473,0.9756139343188528
