Dimension,Bdwth = 10,Bdwth = 10 25,Bdwth = 10 75,Bdwth = 20,Bdwth = 20 25,Bdwth = 20 75,Bdwth = 30,Bdwth = 30 25,Bdwth = 30 75,Bdwth = 40,Bdwth = 40 25,Bdwth = 40 75,Bdwth = 50,Bdwth = 50 25,Bdwth = 50 75,Original Features
20,0.5270986596795324,0.001874433135140574,0.0005441902650408226,0.6100272095132521,0.005482213040411188,0.008777587423158262,0.6315831905673688,0.007407034163055548,0.003436460747757719,0.5996372064899728,0.006832611105512365,0.004373677315328006,0.5717827269978837,0.0036682454902751127,0.003607779905270614,0.9771540864657866
40,0.5690819308676811,0.00627834324297083,0.003648090295273687,0.7531694044139877,0.00432328932782422,0.0014914844301118224,0.692320870704424,0.008223319560616726,0.008938828983170444,0.6314824145923612,0.007346568578051049,0.004706238032852972,0.5902650408142699,0.002086062682656431,0.007336490980550225,0.9771540864657866
60,0.65373374987403,0.008445026705633296,0.007497732540562407,0.8227652927542074,0.0037690214652826848,0.0030535120427289675,0.7215559810541167,0.007820215660586438,0.008253552353119087,0.6485538647586415,0.004917867580368829,0.005069031542880187,0.6008162853975613,0.002761261715207186,0.007185327018038867,0.9771540864657866
80,0.7615942759246196,0.007457422150559334,0.004474453290335578,0.8488864254761664,0.0032550639927441116,0.0028821928852161838,0.7359367126876952,0.004434142900332505,0.0028015721052101483,0.6611810944270886,0.005744230575430831,0.005542678625415687,0.6082535523531191,0.0030434344452282547,0.004968255567872615,0.9771540864657866
100,0.8433941348382545,0.008757432228156836,0.01034969263327623,0.8616144311196211,0.003083744835231328,0.003486848735261505,0.7470926131210319,0.003224831200241862,0.0033256071752494343,0.6668547818200141,0.0026907185327018635,0.004373677315328006,0.6176156404313212,0.004212435755315935,0.006510127985488223,0.9771540864657866
