Dimension,Majority Label,RFF Binary,RFF Binary 25,RFF Binary 75,Eps = 10.0,Eps = 10.0 25,Eps = 10.0 75,Eps = 20.0,Eps = 20.0 25,Eps = 20.0 75,Eps = 30.0,Eps = 30.0 25,Eps = 30.0 75,Eps = 40.0,Eps = 40.0 25,Eps = 40.0 75,Eps = 50.0,Eps = 50.0 25,Eps = 50.0 75
10,0.9539176455402091,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0
20,0.9539176455402091,0.9828320640247838,0.023363882793339445,0.011875564734735961,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0
30,0.9539176455402091,0.9918678198012134,0.018846004905124603,0.0060668645927455895,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0
40,0.9539176455402091,1.0028398089583064,0.011488318058603345,0.0020653156060410427,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0
50,0.9539176455402091,0.9891570930682845,0.009164838001807084,0.007874015748031555,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0,0.9539176455402091,0.0,0.0
