Dimension,RFF Real,RFF Real 25,RFF Real 75,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.7733647251509879,0.01013409765585016,0.022110758521854845,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.80202681953117
10,0.7964991299007064,0.008905722182413811,0.0034803971747363605,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.80202681953117
15,0.8010031733033064,0.002047292455727323,0.0007165523595045187,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.80202681953117
20,0.80090080868052,0.00020472924557279892,0.0008189169822908626,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.80202681953117
25,0.8015149964172382,0.0008189169822909736,0.0004094584911454868,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.7631282628723514,0.0,0.0,0.80202681953117
