Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.7740812775104924,0.7452144538847374,0.04872556044630971,0.011055379260927478,0.705292250998055,0.032244856177704895,0.02149657078513667,0.7286313849933463,0.028457365134609502,0.009827003787491018,0.7166547241273415,0.01504759954959567,0.010543556146995647,0.7199303920565052,0.007267888217831864,0.013205036339441145,0.7750025591155697
10,0.7753096529839287,0.7475688402088239,0.015149964172382013,0.014126317944518352,0.7385607534036237,0.025488791073804862,0.02026819531170032,0.716757088750128,0.031016480704268656,0.025079332582659375,0.72965503122121,0.010645920769781991,0.017197256628109225,0.7121506807247415,0.024260415600368512,0.013921588698945664,0.7750025591155697
15,0.775104923738356,0.751253966629133,0.07063158972259187,0.010543556146995536,0.7369229194390419,0.03439451325621867,0.020165830688913866,0.709182106663937,0.03060702221312317,0.03654417033473223,0.7283242911249872,0.03265431466885049,0.01187429624321834,0.7303715835807145,0.021803664653495813,0.02047292455727301,0.7750025591155697
20,0.7749001944927832,0.7561674685228785,0.06561572320606002,0.0056300542532500275,0.7552461869178012,0.04585935100829153,0.006653700481113689,0.7475688402088239,0.04227658921076882,0.013716859453372865,0.692087214658614,0.01330740096222749,0.039922202886682356,0.731088135940219,0.021803664653495702,0.013205036339441145,0.7750025591155697
25,0.7753096529839287,0.7615927935305559,0.03511106561572319,0.0002047292455726879,0.7615927935305559,0.10574265533831506,0.00030709386835903185,0.7534036237076467,0.014842870304022981,0.008291534445695525,0.7348756269833145,0.01781144436482751,0.02712662503838681,0.7260722694236872,0.021906029276282157,0.024669874091514,0.7750025591155697
