Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.7968062237690654,0.7653802845736514,0.0035827617975228154,0.005834783498822826,0.7666086600470877,0.004504043402600022,0.0028662094380181857,0.7671204831610196,0.002559115569659154,0.0019449278329409792,0.7658921076875832,0.00245675094687281,0.0017401985873681802,0.7670181185382332,0.002149657078513667,0.0012283754734363495,0.7964991299007064
10,0.7964991299007064,0.7645613675913604,0.0027638448152318418,0.009008086805200155,0.7640495444774286,0.002252021701300011,0.006551335858327345,0.7687583171256014,0.004708772648172821,0.0017401985873681802,0.7628211690039922,0.0010236462278636616,0.006141877367181858,0.7683488586344559,0.0030709386835908736,0.002559115569659154,0.7964991299007064
15,0.7968062237690654,0.7617975227761286,0.0,0.01330740096222749,0.7636400859862832,0.0018425632101546352,0.012488483979936515,0.7645613675913604,0.0027638448152318418,0.007063158972259176,0.7654826491964377,0.0036851264203091594,0.0036851264203091594,0.7661992015559422,0.004299314157027334,0.006551335858327345,0.7964991299007064
20,0.7964991299007064,0.7617975227761286,0.5235950455522571,0.011157743883713822,0.7710103388269014,0.009212816050772843,0.008291534445695636,0.7682464940116696,0.006448971235541001,0.00788207595455015,0.7656873784420104,0.0038898556658818473,0.006448971235541001,0.768655952502815,0.006858429726686488,0.0029685740608045297,0.7964991299007064
25,0.7964991299007064,0.7617975227761286,0.5235950455522571,0.007574982086191007,0.7635377213634967,0.0017401985873681802,0.012283754734363828,0.7617975227761286,0.0,0.004708772648172821,0.7657897430647969,0.003992220288668302,0.009315180673559187,0.7646637322141467,0.0028662094380181857,0.0036851264203091594,0.7964991299007064
