Dimension,RFF Binary,RFF Binary 25,RFF Binary 75,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75
5,0.7296764009471192,0.04827676927124444,0.04656669297553269,0.5424888187319126,0.0,0.0,0.5424888187319126,0.0,0.07892659826361491,0.7020520915548539,0.15956327282294133,0.0277558537227046,0.7194159431728492,0.07853196527229672,0.04946066824519866,0.7255985267034991,0.03709550118389897,0.04722441462772947
10,0.8184688239936859,0.025256511444356814,0.032622993948960816,0.5424888187319126,0.0,0.0,0.5424888187319126,0.0,0.0,0.5424888187319126,0.0,0.023283346487766456,0.7058668771375953,0.08458300447250715,0.054327808471454984,0.7594054196264141,0.05551170744540909,0.05524861878453049
15,0.8706919231781111,0.019863193896343057,0.0197316495659037,0.5424888187319126,0.0,0.0,0.5424888187319126,0.0,0.0,0.5424888187319126,0.0,0.0,0.5824782951854776,0.033412259931596966,0.04209418574059454,0.7171796895553801,0.04788213627992637,0.04340962904498823
20,0.8848987108655617,0.014601420678768766,0.019994738226782414,0.5424888187319126,0.0,0.0,0.5424888187319126,0.0,0.0,0.5424888187319126,0.0,0.0,0.5424888187319126,0.0,0.00026308866087871446,0.6068139963167587,0.05761641673243881,0.05248618784530387
25,0.8976585109181794,0.011181268087345366,0.009208103130755119,0.5424888187319126,0.0,0.0,0.5424888187319126,0.0,0.0,0.5424888187319126,0.0,0.0,0.5424888187319126,0.0,0.0,0.5424888187319126,0.0,0.0035516969218627567
