Dimension,Bdwth = 10,Bdwth = 10 25,Bdwth = 10 75,Bdwth = 20,Bdwth = 20 25,Bdwth = 20 75,Bdwth = 30,Bdwth = 30 25,Bdwth = 30 75,Bdwth = 40,Bdwth = 40 25,Bdwth = 40 75,Bdwth = 50,Bdwth = 50 25,Bdwth = 50 75,Original Features
5,0.4898496596473413,0.0,0.0,0.4898496596473413,0.0,0.0008949854995137785,0.4919064051702624,0.0005077321583780159,0.0031754773973132755,0.4944708828515615,0.0021600130805572992,0.0025386607918900794,0.49349844668382054,0.0029517310224348448,0.004681462612841358,0.9702675490305758
10,0.48923005430152405,0.00037004208152974227,0.0003270139325146637,0.49623503696118,0.001876027297057714,0.005602265001764195,0.5205889693037185,0.004079068526630092,0.005593659371961213,0.5152018450470298,0.00940595337469774,0.006832870063595564,0.5065531870949975,0.0021169849315422207,0.0034680688106158986,0.9702675490305758
15,0.45207955044189907,0.0007572954226655049,0.0005507603073930945,0.5033174702890632,0.005782983227627547,0.010361178282832562,0.5352271455986506,0.00792578504857877,0.008132320163851237,0.5321291188695645,0.0027538015369654723,0.005817405746839532,0.5081366229787527,0.0027624071667685657,0.0037176320749033875,0.9702675490305758
20,0.4327427002745196,0.0011101262445892268,0.0005163377881809983,0.512310353433216,0.004285603641902447,0.0060497577515210565,0.5462853798955276,0.0034250406616007645,0.006204659087975406,0.5229297006101391,0.0020481398931180284,0.008295827130108568,0.5090316084782665,0.0041134910458421325,0.005344096107673724,0.9702675490305758
25,0.46551293856440884,0.0005765771968021527,0.0026247170899202366,0.5746323244666661,0.006987771400049914,0.003037787320465002,0.5589528669655689,0.004225364233281459,0.003812294002736527,0.5227403767544728,0.00618744782836933,0.008321644019517516,0.49957402132475065,0.007564348596852066,0.0025989002005111783,0.9702675490305758
