Dimension,RFF Real,RFF Real 25,RFF Real 75,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
5,0.9218047102408045,0.0471024080444562,0.05755490870600688,0.775469700979095,0.0374437681926435,0.06880127017729565,0.8004763164858428,0.03069595130987035,0.06271500396930407,0.7954485313575019,0.0235512040222281,0.07634294786980689,0.7969039428420217,0.028711299285525294,0.08229690394284206,0.8000793860809738,0.029108229690394283,0.06880127017729554,0.9990738290553056
10,0.9993384493252183,0.001984652024345057,0.000529240539825393,0.8586927758666314,0.03863455940725058,0.04300079386080968,0.846387933315692,0.033342154008997094,0.05583487695157452,0.8420216988621329,0.02527123577666046,0.054379465467054744,0.8346123313045779,0.0185234188938872,0.051733262767928,0.8424186292670018,0.02315427361735911,0.0424715533209844,0.9990738290553056
15,1.0,0.00039693040486898923,0.0,0.8793331569198201,0.10082032283672926,0.028711299285525294,0.9042074622916115,0.05848107965070126,0.012701772955808432,0.8971950251389257,0.033342154008997094,0.029505160095263272,0.8952103731145806,0.04366234453559148,0.020111140513363268,0.8913733792008468,0.039296110082032265,0.023021963482402708,0.9990738290553056
20,1.0,0.0,0.0,0.8941518920349298,0.06231807356443497,0.02222810267266473,0.8818470494839905,0.039296110082032265,0.02394813442709709,0.8606774278909765,0.03479756549351676,0.032945223604128104,0.8578989150568933,0.03572373643821114,0.030960571579783047,0.8344800211696216,0.011378671606245061,0.041413072241333615,0.9990738290553056
25,1.0,0.0,0.0,0.8956073035194496,0.055702566816618226,0.011246361471288657,0.879730087324689,0.018391108758930907,0.01759724794919293,0.8601481873511511,0.037973008732468894,0.02897591955543799,0.8571050542471553,0.05093940195819002,0.022889653347446415,0.8490341360148187,0.038502249272294176,0.023683514157184504,0.9990738290553056
