Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Original Features
10,0.958312405826218,0.4992466097438473,0.021597187343043722,0.02260170768458064,0.5067805123053741,0.02009040683073826,0.04118533400301361,0.5494726268206931,0.020592667001506748,0.03566047212456058,0.5896534404821697,0.04018081366147663,0.016072325464590698,0.6368658965344048,0.04068307383224512,0.03264691109994977,0.9904570567553993
20,0.9859367152184831,0.5067805123053741,0.013561024610748318,0.0,0.5017579105976896,0.01657458563535913,0.007533902561526862,0.5077850326469111,0.007031642390758375,0.016574585635359074,0.5138121546961326,0.009040683073832212,0.044701155198392795,0.5183324962330487,0.011551983927674536,0.04118533400301361,0.9904570567553993
30,0.9909593169261678,0.4932194876946258,0.0,0.013561024610748318,0.5067805123053741,0.013561024610748318,0.0050226017076846485,0.5017579105976896,0.011049723756906049,0.0050226017076845375,0.5057759919638373,0.012556504269211455,0.02511300853842291,0.508789552988448,0.009040683073832212,0.009542943244600699,0.9904570567553993
40,0.9904570567553993,0.5067805123053741,0.013561024610748318,0.0,0.4932194876946258,0.0,0.013561024610748318,0.5027624309392266,0.009542943244600754,0.004018081366147563,0.5067805123053741,0.013561024610748318,0.0030135610246108113,0.5052737317930688,0.012054244098442968,0.0015067805123053502,0.9904570567553993
50,0.9919638372677047,0.4932194876946258,0.0,0.013561024610748318,0.4977398292315419,0.004520341536916106,0.009040683073832212,0.49422400803616273,0.004520341536916106,0.0125565042692114,0.4937217478653943,0.0010045203415369186,0.01305876443997983,0.5067805123053741,0.001004520341536863,0.006529382219989999,0.9904570567553993
