Dimension,RFF Binary,RFF Binary 25,RFF Binary 75,Eps = 0.25,Eps = 0.25 25,Eps = 0.25 75,Eps = 0.5,Eps = 0.5 25,Eps = 0.5 75,Eps = 0.75,Eps = 0.75 25,Eps = 0.75 75,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75
20,0.8920328595644803,0.02021124005737375,0.013691485200156471,0.545442691354805,0.0007823705828660556,0.016690572434476445,0.6835310992306689,0.0971443473725388,0.02294953709740511,0.7622897379058547,0.04537749380623289,0.06376320250358591,0.8220106923979659,0.03168600860607641,0.026079019428869445
40,0.9396270700221672,0.015777806754466026,0.009388446994393,0.5652627461207459,0.014082670491589556,0.03129482331464333,0.6158560438127526,0.04355196244621205,0.08254009649237191,0.7888903377233016,0.08045377493806236,0.026339809623158166,0.8512191941582996,0.01642978224018772,0.019428869474507806
60,0.9633589777024384,0.013821880297300833,0.009258051897248638,0.5715217107836745,0.023340722388838196,0.03520667622897383,0.6428478289216326,0.04707263006910947,0.07106532794366925,0.7745468770374234,0.07862824357804153,0.028686921371756442,0.8342678315295344,0.019950449863085137,0.03377233016038597
80,0.9765288825140175,0.00534619898291825,0.005998174468640056,0.5646107706350242,0.014604250880166888,0.07367322988655625,0.6794888512191942,0.08501760333811455,0.07132611813795797,0.7629417133915765,0.042508801669057274,0.08879906115530058,0.8509584039640109,0.017081757725909526,0.02555743904029211
