Epsilon,Naive Bayes,Naive Bayes 25,Naive Bayes 75,Naive Bayes - Numerical Correction,Naive Bayes - Numerical Correction 25,Naive Bayes - Numerical Correction 75
20,0.8433333333333333,0.0,0.0,0.9516666666666667,0.017499999999999967,0.024999999999999918
40,0.8433333333333333,0.0,0.0,0.9866666666666667,0.00916666666666662,0.006666666666666678
60,0.8433333333333333,0.003333333333333339,0.006666666666666678,0.995,0.014166666666666628,0.004166666666666738
80,0.92,0.006666666666666678,0.006666666666666678,1.0,0.010000000000000018,0.0
100,0.9766666666666666,0.0,0.0,1.0,0.00916666666666662,0.0024999999999999406
