Epsilon,Naive Bayes,Naive Bayes 25,Naive Bayes 75,Naive Bayes - Numerical Correction,Naive Bayes - Numerical Correction 25,Naive Bayes - Numerical Correction 75
10,0.8881789137380193,0.0,0.0,0.9345047923322685,0.12380191693290744,0.0183706070287539
20,0.8881789137380193,0.0,0.0,0.976038338658147,0.0135782747603834,0.023162939297124655
30,0.8881789137380193,0.0,0.0,0.9984025559105432,0.023162939297124655,0.00638977635782746
40,0.8881789137380193,0.0,0.0,0.9984025559105432,0.001597444089456833,0.007188498402555941
50,0.8881789137380193,0.0,0.0,1.0,0.007987220447284293,0.005591054313099108
