Dimension,Bdwth = 100,Bdwth = 100 25,Bdwth = 100 75,Bdwth = 200,Bdwth = 200 25,Bdwth = 200 75,Bdwth = 300,Bdwth = 300 25,Bdwth = 300 75,Bdwth = 400,Bdwth = 400 25,Bdwth = 400 75,Bdwth = 500,Bdwth = 500 25,Bdwth = 500 75
20,0.8926910695123406,0.009061643018957984,0.01716942887802547,0.9165374985095982,0.006915464409204719,0.007988553714081222,0.9245260522236795,0.010969357338738463,0.004530821509479057,0.9254799093835697,0.0014307857398354236,0.0013115535948491598,0.9282222487182543,0.0014307857398354236,0.002384642899725792
40,0.9210683200190771,0.013115535948491727,0.007273160844163511,0.923095266483844,0.0026231071896983195,0.00560391081435556,0.9246452843686658,0.006438535829259665,0.005484678669369167,0.928460713008227,0.0028615714796709764,0.004888517944437718,0.9258376058185286,0.0002384642899725275,0.0013115535948492892
60,0.9177298199594611,0.010611660903779671,0.011088589483724726,0.930964588052939,0.0021461786097532647,0.001192321449862896,0.92643376654346,0.001073089304876503,0.0026231071896984487,0.9286991772981995,0.0016692500298080804,0.001788482174794344,0.9291761058781447,0.0025038750447120557,0.0014307857398354236
80,0.9285799451532133,0.0015500178848218166,0.001669250029807951,0.9365684988672947,0.006796232264218455,0.0026231071896983195,0.9310838201979253,0.0019077143197806078,0.0025038750447120557,0.9306068916179802,0.001788482174794344,0.003338500059616031,0.9310838201979253,0.0013115535948491598,0.005365446524382903
100,0.9276260879933229,0.003457732204602295,0.004411589364492664,0.9316799809228568,0.004530821509478928,0.0009538571598902393,0.9328723023727197,0.0013115535948491598,0.008703946583999063,0.9307261237629664,0.003338500059616031,0.0026231071896983195,0.9341838559675688,0.0034577322046024242,0.003576964349588559
