Dimension,Bdwth = 75,Bdwth = 75 25,Bdwth = 75 75,Bdwth = 100,Bdwth = 100 25,Bdwth = 100 75,Bdwth = 125,Bdwth = 125 25,Bdwth = 125 75
150,0.8853434932730087,0.0003571853792118665,0.008751041790689439,0.8955828074770805,0.010120252411001292,0.004822002619359423,0.8957018692701513,0.004643409929753619,0.002202643171806166
200,0.8892725324443386,0.003155137516370928,0.0074413620669128095,0.8966543636147161,0.004881533515894777,0.007322300273842101,0.9022502678890344,0.006488867722347918,0.002440766757947453
250,0.8968924872008571,0.005357780688177094,0.005774496963924314,0.9018930825098226,0.009524943445648266,0.004345755447077106,0.9047505655435171,0.0031551375163710567,0.00613168234313618
