Dimension,PCA,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Eps = 10.0,Eps = 10.0 25,Eps = 10.0 75,Eps = 15.0,Eps = 15.0 25,Eps = 15.0 75,Eps = 20.0,Eps = 20.0 25,Eps = 20.0 75,Original Features
20,0.6595652173913044,0.20173913043478262,0.0065217391304348005,0.0034782608695652084,0.2026086956521739,0.005652173913043457,0.01652173913043478,0.20956521739130435,0.014347826086956533,0.010869565217391297,0.21608695652173912,0.007826086956521733,0.014782608695652177,0.6765217391304348
40,0.71,0.20217391304347826,0.006956521739130445,0.0030434782608695643,0.1956521739130435,0.012608695652173929,0.006956521739130417,0.20130434782608694,0.005652173913043457,0.010434782608695653,0.20521739130434782,0.012608695652173901,0.015652173913043493,0.6765217391304348
60,0.7247826086956521,0.20217391304347826,0.007391304347826089,0.0004347826086956441,0.20043478260869566,0.0056521739130434845,0.0021739130434782483,0.2008695652173913,0.010434782608695653,0.0017391304347826042,0.2026086956521739,0.006521739130434773,0.011739130434782613,0.6765217391304348
80,0.7273913043478261,0.2026086956521739,0.0004347826086956441,0.00260869565217392,0.20217391304347826,0.006956521739130445,0.0004347826086956441,0.2,0.004782608695652196,0.0026086956521738924,0.20478260869565218,0.009130434782608693,0.0034782608695652084,0.6765217391304348
100,0.7452173913043478,0.20217391304347826,0.006956521739130445,0.0004347826086956441,0.20217391304347826,0.006956521739130445,0.0004347826086956441,0.20217391304347826,0.006956521739130445,0.0004347826086956441,0.20217391304347826,0.006956521739130445,0.0030434782608695643,0.6765217391304348
