Dimension,RFFs,RFFs 25,RFFs 75
2,0.7480568212275529,0.0184937014205307,0.08462878584829805
4,0.9719914232109353,0.059903511123023216,0.015545430179576578
6,0.9884749396944519,0.014607343875636525,0.007504690431519758
8,0.9989279013669258,0.003283302063789908,0.000469043151969971
10,0.9989279013669258,0.0007370678102385576,0.0003350308228357887
