Dimension,RFFs,RFFs 25,RFFs 75
2,0.7479565858233954,0.018491223368618526,0.08461744606726518
4,0.9718611818303631,0.05989548438965553,0.01554334717941852
6,0.9883424896154361,0.014605386573763868,0.007503684845236558
8,0.9987940506498727,0.003282862119791008,0.000468980302827271
10,0.9987940506498727,0.000736969047300029,0.000334985930591003
