Dimension,RFFs,RFFs 25,RFFs 75
2,0.7486587982832618,0.01850858369098713,0.08469688841201717
4,0.9727736051502145,0.05995171673819732,0.015557939914163146
6,0.9892703862660944,0.014619098712446318,0.007510729613733964
8,0.9997317596566523,0.0032859442060086228,0.0004694206008583588
10,0.9997317596566523,0.0007376609442060241,0.0003353004291846373
