Epsilon,Ind_Same,Ind_Same 25,Ind_Same 75,WeightedInd_Same,WeightedInd_Same 25,WeightedInd_Same 75,Dep_Same,Dep_Same 25,Dep_Same 75,Ind_Unif,Ind_Unif 25,Ind_Unif 75,Dep_Unif,Dep_Unif 25,Dep_Unif 75,Ind_NonUnif,Ind_NonUnif 25,Ind_NonUnif 75,Dep_NonUnif,Dep_NonUnif 25,Dep_NonUnif 75
1.0,0.8382703777335985,0.1485586481113321,0.027882703777336048,0.8679920477137179,0.0904075546719683,0.02271371769383697,0.6781312127236582,0.08026838966202791,0.10516898608349903,0.7589463220675945,0.04165009940357855,0.11580516898608366,0.6874751491053678,0.05412524850894629,0.1024353876739563,0.7590457256461233,0.036481113320079625,0.07758449304174961,0.6639165009940359,0.012524850894632157,0.07818091451292253
2.0,0.9538767395626243,0.03300198807157047,0.020626242544731662,0.9380715705765408,0.011729622266401542,0.025397614314115198,0.7719681908548709,0.06774353876739568,0.06938369781312125,0.8859840954274354,0.03439363817097416,0.03538767395626247,0.7512922465208749,0.1512922465208748,0.05129224652087479,0.877037773359841,0.036232604373757436,0.05834990059642164,0.6664015904572566,0.057306163021868826,0.037425447316103436
3.0,0.966699801192843,0.015009940357852851,0.011829025844930388,0.9703777335984097,0.024453280318091547,0.005467196819085463,0.7137176938369783,0.04165009940357855,0.1426441351888669,0.939165009940358,0.028429423459244624,0.017793240556660084,0.7256461232604374,0.025347912524850854,0.06704771371769375,0.9688866799204772,0.029671968190854815,0.0065109343936382725,0.7008946322067595,0.053131212723658054,0.06351888667992056
4.0,0.977037773359841,0.01640159045725639,0.004572564612326001,0.9740556660039762,0.005516898608349808,0.004423459244532809,0.7967196819085488,0.0486083499005964,0.05049701789264417,0.9685884691848907,0.013121272365805237,0.0073558648111330775,0.7735586481113321,0.03886679920477132,0.07430417495029813,0.971272365805169,0.00969184890656058,0.018141153081510968,0.6861829025844931,0.035785288270377705,0.08295228628230622
5.0,0.9765407554671969,0.0051192842942345785,0.004721669980119193,0.9795228628230617,0.006660039761431308,0.0012425447316103467,0.9152087475149107,0.0185884691848907,0.020874751491053698,0.9680914512922465,0.014115308151093388,0.0062624254473160786,0.8498011928429423,0.07937375745526837,0.061182902584493055,0.9736580516898609,0.012127236580516771,0.012276341948310275,0.8805168986083499,0.035288270377733626,0.02937375745526828
