Dimension,RFF HRW,RFF HRW 25,RFF HRW 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 6.0,Eps = 6.0 25,Eps = 6.0 75,Eps = 8.0,Eps = 8.0 25,Eps = 8.0 75,Eps = 10.0,Eps = 10.0 25,Eps = 10.0 75,Original Features
5,0.7105263157894737,0.00877192982456143,0.0,0.5350877192982456,0.03947368421052633,0.14035087719298245,0.6754385964912281,0.14035087719298245,0.030701754385964897,0.5964912280701754,0.05701754385964908,0.0964912280701754,0.6140350877192983,0.1228070175438597,0.10526315789473684,0.5701754385964912,0.02631578947368418,0.13596491228070184,0.9473684210526315
10,0.8333333333333334,0.004385964912280715,0.01754385964912275,0.7368421052631579,0.07017543859649122,0.01754385964912286,0.7192982456140351,0.04385964912280704,0.05263157894736836,0.7631578947368421,0.1228070175438597,0.021929824561403466,0.7017543859649122,0.04824561403508776,0.07017543859649122,0.7631578947368421,0.13157894736842113,0.021929824561403466,0.9473684210526315
15,0.8333333333333334,0.00877192982456143,0.0,0.7192982456140351,0.05701754385964919,0.04824561403508776,0.7280701754385965,0.026315789473684292,0.021929824561403466,0.7280701754385965,0.03947368421052633,0.04385964912280693,0.7543859649122807,0.08771929824561397,0.021929824561403466,0.7456140350877193,0.03508771929824561,0.04824561403508776,0.9473684210526315
20,0.7631578947368421,0.004385964912280715,0.030701754385964897,0.7192982456140351,0.07894736842105265,0.06578947368421051,0.7105263157894737,0.0350877192982455,0.05263157894736836,0.7017543859649122,0.0964912280701753,0.07894736842105265,0.7105263157894737,0.07894736842105265,0.04385964912280704,0.6929824561403509,0.06578947368421051,0.05701754385964908,0.9473684210526315
25,0.7807017543859649,0.013157894736842035,0.00877192982456143,0.6666666666666666,0.14035087719298234,0.0964912280701754,0.7105263157894737,0.1578947368421053,0.03508771929824572,0.7280701754385965,0.07017543859649122,0.01754385964912275,0.7105263157894737,0.05263157894736836,0.06140350877192979,0.6842105263157895,0.02631578947368418,0.04824561403508765,0.9473684210526315
