Dimension,RFF Binary,RFF Binary 25,RFF Binary 75,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75
20,0.8745599165471378,0.0050854087886295085,0.01564741165732164,0.8263137306037293,0.032729169383231116,0.016429782240187762,0.851349589255444,0.030251662537488566,0.012909114617290385,0.8456122049810927,0.023471117485982518,0.014473855783022627,0.8387012648324423,0.013561090103012208,0.016299387143043353,0.8457426000782371,0.027774155691746016,0.008606076411526886
40,0.9370191680792802,0.02907810666318944,0.00665014995436175,0.8372669187638545,0.032859564480375525,0.03233798409179811,0.8819924370843656,0.032077193897509404,0.011213978354413956,0.8666058156213327,0.022036771417394685,0.01995044986308514,0.8568261833355065,0.018516103794497307,0.029730082148911263,0.8551310470726301,0.0224279567088278,0.031164428217498985
60,0.962055026730995,0.007432520537227871,0.008084496022949472,0.8495240578954232,0.019689659668796544,0.025948624331725068,0.8861650801929848,0.007693310731516578,0.017212152823053772,0.8932064154387795,0.017081757725909585,0.01082279306298084,0.8877298213587169,0.0225583518059721,0.0091276568001043,0.8758638675185813,0.007562915634372058,0.02086321554309567
80,0.972225844308254,0.010562002868692133,0.0032598774286086707,0.8332246707523797,0.06545833876646234,0.018776893988786014,0.879906115530056,0.01656017733733206,0.016951362628765176,0.8748207067414265,0.01995044986308514,0.013561090103012097,0.863737123484157,0.02321032729169381,0.028556526274612137,0.8615204068327031,0.014734645977311334,0.02581822923458077
100,0.9840917981483897,0.0050854087886296195,0.0024775068457425498,0.8203155561350893,0.03481549093754077,0.044595123223366784,0.8973790585473986,0.013169904811579092,0.007302125440083462,0.8831659929586647,0.023471117485982518,0.024644673360281644,0.88212283218151,0.007432520537227871,0.009779632285826012,0.8792541400443343,0.00834528621723818,0.009388446994393007
