Dimension,RFF Binary,RFF Binary 25,RFF Binary 75,Eps = 0.25,Eps = 0.25 25,Eps = 0.25 75,Eps = 0.5,Eps = 0.5 25,Eps = 0.5 75,Eps = 0.75,Eps = 0.75 25,Eps = 0.75 75,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75
20,0.8901914810472841,0.021623029829360374,0.013286440015631173,0.5448742998567149,0.0007815552950370952,0.016673179627458623,0.6828188094307672,0.09704311580044289,0.022795362771916072,0.7616256350136772,0.04506968868047412,0.06382701576136518,0.8212843558681777,0.032043767096522124,0.02579132473622503
40,0.9382571316920673,0.017584994138335364,0.009118145108766407,0.5645434414484825,0.0138074768789892,0.03165298944900352,0.6163866093526117,0.04480917024879505,0.08193304676305846,0.7880682558290999,0.08023967695714473,0.0264426208154227,0.8505926794320698,0.016412661195779665,0.019408623160088512
60,0.9597499023055881,0.012504884720593967,0.011072033346359311,0.5687117363553471,0.022013807476878977,0.039468542399374806,0.639963527419565,0.04533020711215319,0.07984889930962613,0.776344926403543,0.08440797186400939,0.025009769441188046,0.8297512048977466,0.015891624332421528,0.0375146541617819
80,0.9729060831053797,0.006252442360296984,0.007294516087013148,0.5642829230168034,0.019148104728409443,0.07581086361860112,0.6692718509834571,0.07333593851765019,0.0765924189136381,0.7655334114888629,0.08896704441839265,0.0647388302722417,0.8589292692457992,0.026182102383743633,0.02149277061352084
