Dimension,PCA,Eps = 1.0,Eps = 1.0 25,Eps = 1.0 75,Eps = 2.0,Eps = 2.0 25,Eps = 2.0 75,Eps = 3.0,Eps = 3.0 25,Eps = 3.0 75,Eps = 4.0,Eps = 4.0 25,Eps = 4.0 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75
5,1.0013189132155105,0.7181482458454234,0.007913479293062532,0.01661830651543125,0.719862833025587,0.00408863096808239,0.0031653917172249683,0.7155104194144026,0.0030335003956739556,0.0038248483249802533,0.7166974413083619,0.0015826958586124841,0.001318913215510459,0.7180163545238724,0.0014508045370614714,0.0011870218939593353
10,0.9988129781060406,0.804668952782907,0.0416776576101293,0.02690582959641256,0.7982062780269059,0.02677393827486155,0.023872329200738607,0.81772619361646,0.022553415985228146,0.01846478501714587,0.8286731733051965,0.02453178580849378,0.009891849116328164,0.8249802163017673,0.022157742020574998,0.012397784225797959
15,1.0002637826431022,0.7408335531522027,0.05631759430229492,0.06620944341862298,0.7879187549459246,0.02176206805592196,0.03481930888947509,0.795304668952783,0.029807438670535504,0.019651806911105206,0.8212872592983382,0.03508309153257712,0.03481930888947509,0.8168029543656028,0.027433394882616723,0.012002110261144809
20,1.0003956739646531,0.726325507781588,0.051173832761804317,0.051569506726457354,0.7891057768398839,0.061197573199683386,0.06660511738327624,0.8015035610656819,0.02690582959641256,0.06845159588499085,0.7997889738855184,0.021366394091268812,0.03310472170931149,0.8212872592983382,0.01991558955420734,0.02439989448694277
25,0.999868108678449,0.7110261144816672,0.1192297546821419,0.04629385386441574,0.7594302294908996,0.03007122131363753,0.044051701398047975,0.7958322342389871,0.023212872592983432,0.05315220258506995,0.7889738855183329,0.03310472170931149,0.049723028224742845,0.814428910577684,0.03574254814033229,0.03969928778686367
