Dimension,Majority Label,RFF Binary,RFF Binary 25,RFF Binary 75,Eps = 5.0,Eps = 5.0 25,Eps = 5.0 75,Eps = 10.0,Eps = 10.0 25,Eps = 10.0 75,Eps = 15.0,Eps = 15.0 25,Eps = 15.0 75,Eps = 20.0,Eps = 20.0 25,Eps = 20.0 75,Eps = 25.0,Eps = 25.0 25,Eps = 25.0 75
50,0.8763713577916716,0.8764893240533207,0.00011796626164914404,0.0030671228028783847,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0
100,0.8763713577916716,0.8822696708741299,0.003951869765247157,0.006134245605756769,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0
150,0.8763713577916716,0.8878140851716408,0.006429161259879693,0.008021705792143457,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0
200,0.8763713577916716,0.8938303645157485,0.0033620384570013087,0.0023593252329833924,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0
250,0.8763713577916716,0.8957178247021351,0.005485431166686285,0.005072549250914217,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0,0.8763713577916716,0.0,0.0
